"Регион";"Дата";"Маркер";"Запросов на млн"
Калининградская область;07.03.2021;симптомы коронавируса;67.6205974556919
Калининградская область;20.04.2021;как не заразиться;0
Калининградская область;04.07.2021;пропало обоняние;90.22341426490766
Калининградская область;02.09.2021;что делать дома;0
Калининградская область;11.08.2021;симптомы коронавируса;161.47831933365237
Калининградская область;30.07.2021;что делать если не едет скорая;0
Калининградская область;02.09.2020;симптомы коронавируса;140.37650576627883
Калининградская область;28.01.2021;купить антисептик;1.9408958398838565
Калининградская область;31.01.2022;вторая волна;0.7687228208437655
Калининградская область;15.03.2021;пульсоксиметр и сатурация;62.794116560655425
Калининградская область;19.01.2021;сделать КТ;20.37197282184807
Калининградская область;10.02.2021;симптомы коронавируса;111.5524075220492
Калининградская область;23.07.2020;доставка еды на дом;58.909099652556534
Калининградская область;24.05.2021;как не заразиться;0
Калининградская область;14.05.2021;что делать дома;2.84098711044148
Калининградская область;01.09.2021;антитела;166.28263296671972
Калининградская область;13.05.2022;антитела;40.05946217559456
Калининградская область;01.04.2021;пропало обоняние;38.305553826485415
Калининградская область;06.06.2020;сделать КТ;4.060133280641826
Калининградская область;01.08.2020;что делать дома;5.693366658506174
Калининградская область;05.01.2022;купить маску и респиратор;13.442654117628985
Калининградская область;05.03.2020;вторая волна;0
Калининградская область;25.12.2020;купить антисептик;4.389189426442672
Калининградская область;05.03.2022;симптомы коронавируса;36.797343231818665
Калининградская область;22.08.2020;доставка еды на дом;75.39295210528087
Калининградская область;22.05.2022;вторая волна;0
Калининградская область;16.06.2022;симптомы коронавируса;13.406910457926434
Калининградская область;23.03.2022;лечение коронавируса;40.16143186613084
Калининградская область;19.11.2020;сдать тест;402.73639055823327
Калининградская область;06.01.2021;что делать дома;3.447495222346204
Калининградская область;04.06.2021;пропало обоняние;37.32919437704451
Калининградская область;21.03.2021;как не заразиться;0
Калининградская область;20.12.2021;лечение коронавируса;98.07892881861936
Калининградская область;20.08.2021;что делать дома;3.018017564862227
Калининградская область;19.06.2020;доставка еды на дом;60.518339578489766
Калининградская область;20.06.2020;что делать если не едет скорая;0
Калининградская область;13.02.2022;вторая волна;0.8752045790703578
Калининградская область;02.07.2021;сделать КТ;11.983259386636869
Калининградская область;13.03.2022;сделать КТ;1.7863379090378873
Калининградская область;31.03.2022;пульсоксиметр и сатурация;20.291647795434216
Калининградская область;27.02.2021;купить антисептик;0
Калининградская область;25.06.2022;что делать если не едет скорая;1.1731911738481609
Калининградская область;16.07.2020;антитела;61.41811981938159
Калининградская область;31.05.2021;что делать дома;1.9257006902674123
Калининградская область;21.12.2020;лечение коронавируса;244.0803474953132
Калининградская область;14.12.2020;пульсоксиметр и сатурация;190.42160650495143
Калининградская область;01.06.2020;что делать если не едет скорая;0
Калининградская область;19.07.2020;лечение коронавируса;31.552708800050485
Калининградская область;01.05.2021;пропало обоняние;41.43694103293086
Калининградская область;23.06.2021;как не заразиться;0
Калининградская область;14.08.2020;что делать дома;0
