"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
ОАЭ;04.08.2020;61352;55090;351;189;227;0
Micronesia;09.09.2020;0;0;0;0;0;0
Австралия;27.10.2020;27553;22072;907;14;7;2
Палау;22.05.2020;0;0;0;0;0;0
Сент-Китс и Невис;19.07.2020;17;15;0;0;0;0
Эфиопия;04.08.2020;19877;8240;343;588;309;7
Сьерра-Леоне;30.08.2020;2022;1594;70;3;3;0
Албания;04.08.2020;5750;3031;176;130;0;4
Танзания;10.10.2020;509;183;21;0;0;0
Фиджи;26.07.2020;27;18;0;0;0;0
Индонезия;26.04.2020;8882;1107;743;275;65;23
Шри-Ланка;12.03.2020;2;1;0;0;0;0
Antarctica;25.09.2020;0;0;0;0;0;0
Лаос;19.10.2020;23;22;0;0;0;0
Индия;19.12.2020;10031223;9580402;145477;26624;29690;341
Болгария;13.05.2020;2069;499;96;46;23;1
Западный берег реки Иордан;10.03.2020;26;0;0;7;0;0
Судно "Diamond Princess";10.04.2020;712;619;11;0;0;0
Мали;01.02.2020;0;0;0;0;0;0
Сербия;03.11.2020;51083;0;844;1878;0;11
Лесото;09.09.2020;1164;528;31;16;0;0
Хорватия;20.02.2020;0;0;0;0;0;0
Россия;09.04.2020;10131;698;76;1459;118;13
Summer Olympics 2020;02.10.2020;0;0;0;0;0;0
Бахрейн;26.11.2020;86347;84510;341;162;175;1
Мьянма;27.07.2020;350;292;6;0;2;0
Косово и Метохия;14.02.2020;0;0;0;0;0;0
Тонга;26.11.2020;0;0;0;0;0;0
Франция;10.10.2020;761384;103232;32684;26677;0;35
Колумбия;21.03.2020;196;1;0;38;0;0
Киргизия;01.06.2020;1817;1181;16;69;11;0
Таиланд;14.10.2020;3652;3463;59;9;6;0
Маврикий;16.09.2020;365;338;10;3;0;0
Кипр;31.08.2020;1487;1139;21;4;204;0
Эсватини;10.11.2020;6024;5737;117;11;5;0
Марокко;29.04.2020;4321;928;168;69;150;3
Korea, North;21.09.2020;0;0;0;0;0;0
Бутан;24.10.2020;340;306;0;4;0;0
Winter Olympics 2022;15.10.2020;0;0;0;0;0;0
Украина;08.11.2020;474245;215357;8695;9647;2808;142
Люксембург;27.12.2020;45209;37574;458;0;0;0
Доминика;20.07.2020;18;18;0;0;0;0
Сент-Люсия;11.04.2020;15;1;0;0;0;0
Норвегия;20.05.2020;8281;32;234;14;0;1
США;14.03.2020;2978;12;58;759;0;7
Камбоджа;29.09.2020;277;275;0;0;0;0
Уругвай;16.06.2020;849;801;24;1;9;1
Соломоновы острова;24.04.2020;0;0;0;0;0;0
Гвинея-Бисау;21.06.2020;1541;153;17;0;0;0
Алжир;26.07.2020;27357;18088;1155;593;12;9
Исландия;22.03.2020;568;36;1;95;14;0
Папский Престол;11.06.2020;12;12;0;0;0;0
Уганда;25.10.2020;11443;7351;101;146;70;2
Либерия;29.12.2020;1800;1406;83;0;0;0
Словакия;19.10.2020;30913;7536;92;860;177;4
Бутан;31.05.2020;43;6;0;10;0;0
Доминика;25.02.2020;0;0;0;0;0;0
Сент-Люсия;30.07.2020;25;22;0;1;0;0
Мьянма;18.02.2020;0;0;0;0;0;0
Кипр;13.05.2020;903;449;16;2;0;0
Марокко;22.09.2020;105346;85883;1889;2227;1725;34
Колумбия;10.08.2020;397623;221484;13154;10142;8796;312
Франция;21.05.2020;183396;63976;28218;267;504;82
Киргизия;21.10.2020;53459;46444;1118;549;305;5
Маврикий;27.04.2020;332;302;9;1;3;0
Таиланд;25.05.2020;3042;2928;57;2;7;0
Камерун;09.11.2020;22421;21510;433;0;0;0
Winter Olympics 2022;08.05.2020;0;0;0;0;0;0
Косово и Метохия;05.07.2020;3356;1874;66;178;50;8
Korea, North;17.06.2020;0;0;0;0;0;0
Сейшельские острова;13.12.2020;185;182;0;0;0;0
Монако;06.02.2020;0;0;0;0;0;0
Мавритания;19.12.2020;12278;8545;273;232;119;9
Словакия;26.05.2020;1513;1322;28;2;15;0
Алжир;07.04.2020;1468;113;193;45;23;20
Папский Престол;03.10.2020;12;12;0;0;0;0
Исландия;11.08.2020;1968;1844;10;6;6;0
США;02.07.2020;2749456;781970;128822;54982;51976;739
Камбоджа;07.06.2020;126;123;0;1;0;0
Норвегия;09.10.2020;15388;11863;275;167;0;0
Уругвай;08.10.2020;2226;1904;49;20;14;0
Грузия;04.02.2020;0;0;0;0;0;0
Гвинея-Бисау;28.02.2020;0;0;0;0;0;0
Соломоновы острова;17.09.2020;0;0;0;0;0;0
Танзания;21.05.2020;509;183;21;0;0;0
Фиджи;07.04.2020;15;0;0;1;0;0
Шри-Ланка;04.07.2020;2074;1885;11;5;22;0
Индонезия;15.09.2020;225030;161065;8965;3507;2660;124
Узбекистан;14.03.2020;0;0;0;0;0;0
Кувейт;29.08.2020;84224;75993;528;646;673;3
Micronesia;16.04.2020;0;0;0;0;0;0
Венесуэла;05.12.2020;104177;98879;916;300;0;3
Палау;15.10.2020;0;0;0;0;0;0
Сент-Китс и Невис;24.02.2020;0;0;0;0;0;0
Эфиопия;12.04.2020;71;10;3;2;0;0
Сьерра-Леоне;12.05.2020;338;72;19;0;0;0
Албания;12.04.2020;446;217;23;13;20;0
